,park_name,zone,dong,latitude,longitude,parking_name,addr,tel,operation_rule_nm,lng,lat,opeation_rule_nm,park_coord,parking_lot_coord
0,남산공원,중구,예장동,37.5501402,126.9903773,남산소파길 공영주차장(시),중구 예장동 8-172,-,시간제 주차장,126.98540056,37.55669585,,"(37.5501402, 126.9903773)","(37.55669585, 126.98540056)"
1,남산공원,중구,예장동,37.5501402,126.9903773,남산예장 관광버스전용 주차장(시),중구 예장동 4-1,02-2290-7227,버스전용 주차장,126.989076,37.559821,,"(37.5501402, 126.9903773)","(37.559821, 126.989076)"
2,서울숲,성동구,성수동1가,37.5430717,127.0417982,서울숲 공영주차장(구),성동구 성수동1가 643,070-7119-2893,시간제 주차장,127.042767,37.541479,,"(37.5430717, 127.0417982)","(37.541479, 127.042767)"
3,서울숲,성동구,성수동1가,37.5430717,127.0417982,거주자노외주차장(구),성동구 성수동1가 685-173,-,거주자 우선 주차장,127.0411159,37.54919601,,"(37.5430717, 127.0417982)","(37.54919601, 127.0411159)"
4,서울숲,성동구,성수동1가,37.5430717,127.0417982,공유) 16-36(구),성동구 성수동1가 676-1,02-2204-7970,시간제 + 거주자 주차장,127.04092257143668,37.54860087616563,,"(37.5430717, 127.0417982)","(37.54860087616563, 127.04092257143668)"
5,서울숲,성동구,성수동1가,37.5430717,127.0417982,공유) 16-01(구),성동구 성수동1가 656-1830 ,02-2204-7970,시간제 + 거주자 주차장,127.04610764,37.550723139,,"(37.5430717, 127.0417982)","(37.550723139, 127.04610764)"
6,서울숲,성동구,성수동1가,37.5430717,127.0417982,공유) 15-12(구),성동구 성수동1가 34-9 ,02-2204-7970,시간제 + 거주자 주차장,127.04901,37.53987,,"(37.5430717, 127.0417982)","(37.53987, 127.04901)"
7,서울숲,성동구,성수동1가,37.5430717,127.0417982,공유) 16-17(구),성동구 성수동1가 13-219,02-2204-7970,시간제 + 거주자 주차장,127.04946041107178,37.54721008992412,,"(37.5430717, 127.0417982)","(37.54721008992412, 127.04946041107178)"
8,서울숲,성동구,성수동1가,37.5430717,127.0417982,공유) 15-01(구),성동구 성수동1가 656-488,02-2204-7970,시간제 + 거주자 주차장,127.045891,37.545839,,"(37.5430717, 127.0417982)","(37.545839, 127.045891)"
9,서울숲,성동구,성수동1가,37.5430717,127.0417982,공유) 16-31(구),성동구 성수동1가 10-3,02-2204-7970,시간제 + 거주자 주차장,127.0473736524582,37.54580227182755,,"(37.5430717, 127.0417982)","(37.54580227182755, 127.0473736524582)"
10,서울숲,성동구,성수동1가,37.5430717,127.0417982,공유) 15-06(구),성동구 성수동1가 656-1661,02-2204-7970,시간제 + 거주자 주차장,127.0486,37.5415,,"(37.5430717, 127.0417982)","(37.5415, 127.0486)"
11,서울숲,성동구,성수동1가,37.5430717,127.0417982,공유) 16-03(구),성동구 성수동1가 656-1264 ,02-2204-7970,시간제 + 거주자 주차장,127.04594135,37.549825753,,"(37.5430717, 127.0417982)","(37.549825753, 127.04594135)"
12,서울숲,성동구,성수동1가,37.5430717,127.0417982,공유) 16-04(구),성동구 성수동1가 656-373 ,02-2204-7970,시간제 + 거주자 주차장,127.0461291,37.549260097,,"(37.5430717, 127.0417982)","(37.549260097, 127.0461291)"
13,서울숲,성동구,성수동1가,37.5430717,127.0417982,공유) 11-05(구),성동구 성수동1가 7-15,02-2204-7970,시간제 + 거주자 주차장,127.04740583896636,37.54859661589782,,"(37.5430717, 127.0417982)","(37.54859661589782, 127.04740583896636)"
14,서울숲,성동구,성수동1가,37.5430717,127.0417982,공유) 16-06(구),성동구 성수동1가 7-15,02-2204-7970,시간제 + 거주자 주차장,127.04750776290894,37.54866891869198,,"(37.5430717, 127.0417982)","(37.54866891869198, 127.04750776290894)"
15,서울숲,성동구,성수동1가,37.5430717,127.0417982,공유) 16-14(구),성동구 성수동1가 13-219,02-2204-7970,시간제 + 거주자 주차장,127.05071568489076,37.55029783952415,,"(37.5430717, 127.0417982)","(37.55029783952415, 127.05071568489076)"
